"ID","Trigger/Event","Phase","GameplayContext","ViewerPersonality","ViewershipEffect","Line","Type","Status","Source"
"B224","idle_timeout","Phase 1 (Zone A)","A.1 Idle warm-up in foyer","React intent (fearful+humor weighted)","small drain","boring open it up","line","doc-only","PROGRESSION_AND_CHAT.md A.1 (L159)"
"B225","check_bathroom fail","Phase 1 (Zone A)","A.2 Bathroom dare fail (doc example)","React intent (fearful+humor weighted)","-15","viewers leaving","line","doc-only","PROGRESSION_AND_CHAT.md A.2 (L181)"
"B226","event_bathroom_lights_flicker","Phase 1 (Zone A)","A.3 Flicker bickering (doc examples)","React intent (fearful+humor weighted)","+small","fake","line","doc-only","PROGRESSION_AND_CHAT.md A.3 (L190)"
"B227","event_bathroom_lights_flicker","Phase 1 (Zone A)","A.3 Flicker bickering (doc examples)","React intent (fearful+humor weighted)","+small","dude there's clearly a leak","line","doc-only","PROGRESSION_AND_CHAT.md A.3 (L190)"
"B228","event_bathroom_lights_flicker","Phase 1 (Zone A)","A.3 Flicker bickering (doc examples)","React intent (fearful+humor weighted)","+small","shut up its real","line","doc-only","PROGRESSION_AND_CHAT.md A.3 (L190)"
"B229","gaze_newspaper_1983_oct/nov","Phase 1->2 (Zone A)","A.4 Reading newspapers/playbills","React intent (fearful+humor weighted)","","oh shit someone died here","line","doc-only","PROGRESSION_AND_CHAT.md A.4 (L196)"
"B230","gaze_newspaper_1983_oct/nov","Phase 1->2 (Zone A)","A.4 Reading newspapers/playbills","React intent (fearful+humor weighted)","","gas leak yeah right","line","doc-only","PROGRESSION_AND_CHAT.md A.4 (L196)"
"B231","gaze_playbills","Phase 1->2 (Zone A)","A.4 Reading playbills","React intent (fearful+humor weighted)","","starved for attention lol on theme","line","doc-only","PROGRESSION_AND_CHAT.md A.4 (L196)"
"B232","enter_theater_hall","Phase 1 (Zone B)","B.1 Entering the theater hall (doc; note awe_theater pool is separately wired)","React intent (fearful+humor weighted)","small","WHOA","line","doc-only","PROGRESSION_AND_CHAT.md B.1 (L329)"
"B233","enter_theater_hall","Phase 1 (Zone B)","B.1 Entering the theater hall","React intent (fearful+humor weighted)","small","this place is huge","line","doc-only","PROGRESSION_AND_CHAT.md B.1 (L329)"
"B234","enter_theater_hall","Phase 1 (Zone B)","B.1 Entering the theater hall","React intent (fearful+humor weighted)","small","{emoji:positive}[2-4]","emoji-burst","doc-only","PROGRESSION_AND_CHAT.md B.1 (L329)"
"B235","idle_timeout (theater)","Phase 1 (Zone B)","B.2 Idle on stage (nice-to-have)","React intent (fearful+humor weighted)","","do something on stage","line","doc-only","PROGRESSION_AND_CHAT.md B.2 (L335)"
"B236","idle_timeout (theater)","Phase 1 (Zone B)","B.2 Idle on stage","React intent (fearful+humor weighted)","","sing for us","line","doc-only","PROGRESSION_AND_CHAT.md B.2 (L335)"
"B237","idle_timeout (theater)","Phase 1 (Zone B)","B.2 Idle on stage","React intent (fearful+humor weighted)","","perform!","line","doc-only","PROGRESSION_AND_CHAT.md B.2 (L335)"
"B238","gaze_drawer","Phase 1.5 (Zone B)","B.3 Drawer note noticing","React intent (fearful+humor weighted)","","wait look at that drawer","line","doc-only","PROGRESSION_AND_CHAT.md B.3 (L349)"
"B239","gaze_drawer","Phase 1.5 (Zone B)","B.3 Drawer note noticing","React intent (fearful+humor weighted)","","open it!","line","doc-only","PROGRESSION_AND_CHAT.md B.3 (L349)"
"B240","gaze_drawer","Phase 1.5 (Zone B)","B.3 Drawer note noticing","React intent (fearful+humor weighted)","","{emoji:curious}[1-2]","emoji-burst","doc-only","PROGRESSION_AND_CHAT.md B.3 (L349)"
"B241","open_drawer","Phase 1.5 (Zone B)","B.3 Open-drawer dare banner","Dare intent (trolling+bravery weighted)","+moderate","OPEN THE DRAWER","line","doc-only","PROGRESSION_AND_CHAT.md B.3 (L353)"
"B242","open_drawer","Phase 1.5 (Zone B)","B.3 Open-drawer dare banner","Dare intent (trolling+bravery weighted)","+moderate","100 superchats says you don't open it {emoji:money}[1-2]","template","doc-only","PROGRESSION_AND_CHAT.md B.3 (L354)"
"B243","pickup_lightbulb","Phase 1 (Zone B)","B.4 Lightbulb pickup (doc variant of wired line)","React intent (fearful+humor weighted)","","go put it in the spotlight up there","line","doc-only","PROGRESSION_AND_CHAT.md B.4 (L362)"
"B244","enter_walkway","Phase 2 (Zone B)","B.5 Catwalk traversal","React intent (fearful+humor weighted)","","don't fall lol","line","doc-only","PROGRESSION_AND_CHAT.md B.5 (L369)"
"B245","enter_walkway","Phase 2 (Zone B)","B.5 Catwalk traversal","React intent (fearful+humor weighted)","","imagine if the rope snaps right now","line","doc-only","PROGRESSION_AND_CHAT.md B.5 (L370)"
"B246","gaze_stage_ropes > pull_ropes","Phase 1-2 (Zone B)","B.7 Pull-ropes dare banner (doc examples beyond the 2 wired)","Dare intent (trolling+bravery weighted)","+15","pull the ropes, finish the show!","line","doc-only","PROGRESSION_AND_CHAT.md B.7 (L387)"
"B247","gaze_stage_ropes > pull_ropes","Phase 1-2 (Zone B)","B.7 Pull-ropes dare banner (doc example)","Dare intent (trolling+bravery weighted)","+15","stage's lit, now stage a play","line","doc-only","PROGRESSION_AND_CHAT.md B.7 (L388)"
"B248","event_descend_trapdoor","Phase 2 (Zone C)","C.1 Climbing down into bunker","React intent (fearful+humor weighted)","uneasy +","no going back lol","line","doc-only","PROGRESSION_AND_CHAT.md C.1 (L583)"
"B249","event_descend_trapdoor","Phase 2 (Zone C)","C.1 Climbing down into bunker","React intent (fearful+humor weighted)","uneasy +","based","line","doc-only","PROGRESSION_AND_CHAT.md C.1 (L583)"
"B250","gaze_reese_log_01 / gaze_yost_log_02","Phase 2 (Zone C)","C.2 First lore reads","React intent (fearful+humor weighted)","","wait this guy was military","line","doc-only","PROGRESSION_AND_CHAT.md C.2 (L591)"
"B251","gaze_reese_log_01 / gaze_yost_log_02","Phase 2 (Zone C)","C.2 First lore reads","React intent (fearful+humor weighted)","","headaches huh","line","doc-only","PROGRESSION_AND_CHAT.md C.2 (L592)"
"B252","gaze_reese_log_01 / gaze_yost_log_02","Phase 2 (Zone C)","C.2 First lore reads (chat knows too fast)","React intent (fearful+humor weighted)","","the doctor says it gets worse the lower you go","line","doc-only","PROGRESSION_AND_CHAT.md C.2 (L593)"
"B253","enter_generator_room","Phase 2 (Zone C)","C.3 Generator: on entering","React intent (fearful+humor weighted)","","what's that note?","line","doc-only","PROGRESSION_AND_CHAT.md C.3 (L602)"
"B254","enter_generator_room","Phase 2 (Zone C)","C.3 Generator: on entering","React intent (fearful+humor weighted)","","READ IT","line","doc-only","PROGRESSION_AND_CHAT.md C.3 (L602)"
"B255","gaze_do_not_turn_on_note","Phase 2 (Zone C)","C.3 Generator: on reading the note","React intent (fearful+humor weighted)","","lol skill issue","line","doc-only","PROGRESSION_AND_CHAT.md C.3 (L603)"
"B256","gaze_do_not_turn_on_note","Phase 2 (Zone C)","C.3 Generator: on reading the note","React intent (fearful+humor weighted)","","TURN IT ON ANYWAY","line","doc-only","PROGRESSION_AND_CHAT.md C.3 (L603)"
"B257","gaze_do_not_turn_on_note","Phase 2 (Zone C)","C.3 Generator: quick bicker","React intent (fearful+humor weighted)","","don't","line","doc-only","PROGRESSION_AND_CHAT.md C.3 (L604)"
"B258","gaze_do_not_turn_on_note","Phase 2 (Zone C)","C.3 Generator: quick bicker","React intent (fearful+humor weighted)","","do it coward","line","doc-only","PROGRESSION_AND_CHAT.md C.3 (L604)"
"B259","turn_on_generator","Phase 2 (Zone C)","C.3 Generator dare banner","Dare intent (trolling+bravery weighted)","big + on success / drop on fail","TURN. IT. ON.","line","doc-only","PROGRESSION_AND_CHAT.md C.3 (L606)"
"B260","entity_going_generator","Phase 2 (Zone C)","C.3.1 Chase flood (doc lists @{0} HIDE BRO; graph wired as 'HIDE BRO')","React intent (fearful+humor weighted)","(flood)","@{0} HIDE BRO","template","doc-only","PROGRESSION_AND_CHAT.md C.3.1 (L630)"
"B261","pickup_key3 / interact_sealed_door","Phase 2 (Zone C)","C.4 Find Key3 / open sealed door","React intent (fearful+humor weighted)","","go deeper","line","doc-only","PROGRESSION_AND_CHAT.md C.4 (L639)"
"B262","pickup_key3 / interact_sealed_door","Phase 2 (Zone C)","C.4 Find Key3 / open sealed door","React intent (fearful+humor weighted)","","dare you","line","doc-only","PROGRESSION_AND_CHAT.md C.4 (L639)"
"B263","event bunker entry (Signal None)","Phase 2 (Zone C)","C.0 Player thought on losing signal (ShowNotification, not chat)","React intent (fearful+humor weighted)","","I have no signal - losing viewers - need an antenna","line","doc-only","PROGRESSION_AND_CHAT.md C.0 (L565)"
"B264","generator destroyed (Signal Low)","Phase 2 (Zone C)","C.0 Player thought after generator destroyed (ShowNotification)","React intent (fearful+humor weighted)","","something destroyed the generator - need another power source","line","doc-only","PROGRESSION_AND_CHAT.md C.0 (L575)"
"B265","signal_strength_low / _medium","Phase 2 (Zone C)","C.0 Signal nag copy example (append MessagePoolNodes; not yet wired)","React intent (fearful+humor weighted)","","signal sucks bro","line","doc-only","PROGRESSION_AND_CHAT.md C.0 (L554)"
"B266","dare_take_a_bow","Phase 1 (Zone B)","B.2 take_a_bow dare banner + reactions","","","TODO - no line authored yet","line","TODO","PROGRESSION_AND_CHAT.md B.2 / 7.2"
"B267","dare_look_down","Phase 2 (Zone B)","B.5 look_down dare banner + reactions","","","TODO - no line authored yet","line","TODO","PROGRESSION_AND_CHAT.md 7.2"
"B268","dare_sing_on_stage","Phase 1 (Zone B)","B.9 sing_on_stage dare banner + reactions","","","TODO - no line authored yet","line","TODO","PROGRESSION_AND_CHAT.md B.9 (L480)"
"B269","gaze_show_schedule","Phase 1-2 (Zone B)","B.10 read show schedule (NarcusTech tease) chat","","","TODO - no line authored yet","line","TODO","PROGRESSION_AND_CHAT.md B.10 (L483)"
"B270","proximity_theater_door_locked","Phase 2 (Zone B)","B.11 try to leave the theater; chat mocks/pressures","","","TODO - no line authored yet","line","TODO","PROGRESSION_AND_CHAT.md B.11 (L485)"
"B271","interact_generator success","Phase 2 (Zone C)","C.3 generator-on payoff chat + ambient horror reaction","","","TODO - no line authored yet","line","TODO","PROGRESSION_AND_CHAT.md C.3 (L607)"
"B272","Zone D beats","Phase 3 (Zone D)","Deep Lab: Phase 3 unified/commanding chat - outline only","","","TODO - no line authored yet","line","TODO","PROGRESSION_AND_CHAT.md 6 (L648)"
"B273","Zone E beats","Phase 3 (Zone E)","Excavation/monolith + ending chat - outline only","","","TODO - no line authored yet","line","TODO","PROGRESSION_AND_CHAT.md 6 (L651)"
"B274","readable_A1","n/a (readable)","Note A1 @ Reception counter: Old playbills (Winter's Hollow / Glass Orchestra / Starved for Attention 1972)","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L135"
"B275","readable_A2","n/a (readable)","Note A2 @ Reception counter: Newspaper Oct 14 1983 - Elena Mathis falls","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L136"
"B276","readable_A3","n/a (readable)","Note A3 @ Reception/notice board: Newspaper Nov 2 1983 - gas-leak follow-up","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L137"
"B277","readable_A4","n/a (readable)","Note A4 @ Snack stand: Chalkboard menu / private-viewings price slip","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L138"
"B278","readable_A5","n/a (readable)","Note A5 @ Bathroom mirror: Performer diary page - head feels light","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L139"
"B279","readable_B1","n/a (readable)","Note B1 @ Wing drawer: Performer diary continuation - saw something behind the curtain","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L242"
"B280","readable_B2","n/a (readable)","Note B2 @ Backstage corkboard: Show schedule; PRIVATE EVENT - N.T.","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L243"
"B281","readable_B3","n/a (readable)","Note B3 @ Walkway near spotlight: Maintenance note - replace bulb before show","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L244"
"B282","readable_B4","n/a (readable)","Note B4 @ Mannequin room: Costume tag - Elena Mathis, Glass Orchestra","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L245"
"B283","readable_C1","n/a (readable)","Note C1 @ Past trapdoor: Reese Log 01","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L522"
"B284","readable_C2","n/a (readable)","Note C2 @ Living quarters: Reese Log 03/05 - headaches, time skips","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L523"
"B285","readable_C3","n/a (readable)","Note C3 @ Comms station: Brooks Log 03/04","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L524"
"B286","readable_C4","n/a (readable)","Note C4 @ Medical bay: Yost Log 02/03","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L525"
"B287","readable_C5","n/a (readable)","Note C5 @ Generator room: Mira Log 14 - Do NOT turn on the power","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L526"
"B288","readable_C6","n/a (readable)","Note C6 @ Generator room: NarcusTech procurement notice","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L527"
"B289","readable_C7","n/a (readable)","Note C7 @ Side room near sealed door: Key3 hint","","","TODO - readable body not authored (gist only)","line","TODO","PROGRESSION_AND_CHAT.md L528"
